"truegraph","graph_nNode","graph_nCluster","graph_sparsity","graph_avg_abs_weight","smallworld","APL"
"DASS_ggmModSelect_nostepwise",21,3,0.26984126984127,0.0620400099495347,1.22521525119568,1.23333333333333
"DASS_ggmModSelect_stepwise",21,3,0.414965986394558,0.077238617713209,1.17436361298372,1.38571428571429
"Fried_refugees_nostepwise",16,1,0.6328125,0.128681134077498,1.594073920631,1.75833333333333
"Fried_refugees_stepwise",16,1,0.671875,0.148683100477991,0.85668208696949,1.74166666666667
"MAGNA_PTSD",17,1,0.543252595155709,0.0997449973006054,1.26934105873304,1.52205882352941
"psychTools_bfi_ggmModSelect_stepwise",25,5,0.6416,0.125622184600598,1.09552487610481,1.63333333333333
"psychTools_bfi_ggmModSelect",25,5,0.5168,0.0960232112586841,1.1010451183255,1.49666666666667
"synthetic_BDgraph_random_0.25",10,1,0.76,0.231520833333333,1.9879959934249,1.60714285714286
"synthetic_BDgraph_random_0.5",10,1,0.52,0.226644166666667,1.22721987589668,1.46666666666667
"synthetic_BDgraph_random_0.75",10,1,0.34,0.24372896162664,1.28814223375623,1.26666666666667
"synthetic_chain",10,1,0.8,0.333333333333333,0,2.77777777777778
"synthetic_cluster",10,1,0.1,0.0740740740740741,1.42805496326251,1
"synthetic_curieweiss",10,1,0.1,0.1,1.42805496326251,1
"synthetic_doublechain",10,1,0.6,0.166666666666667,1.30844321910394,1.66666666666667
"synthetic_random",10,1,0.54,0.144927536231884,1.25933581116886,1.6
"synthetic_smallworld",10,1,0.6,0.166666666666667,0.894443606809332,1.6
"synthetic_twochains",18,2,0.864197530864197,0.3,0,3.32679738562092
"synthetic_twoclusters",18,2,0.530864197530864,0.1,1.79781764859395,1.66666666666667
