"Q2A","Q3A","Q4A","Q6A","Q8A","Q10A","Q12A","Q17A","Q18A","Q20A","Q22A","Q25A","Q26A","Q28A","Q31A","Q35A","Q38A","Q39A","Q40A","Q41A","Q42A","cluster"
0,0,0.0945927160981397,0,0,0,0,0.0187953277127788,0.0560036726360658,0.0459462175451209,0.0186467741652094,0.093158846732435,0,0,0.0388917291962113,0.0685211046379068,0,0,0.0505438186086186,0.105091417880445,0,"Anxiety"
0,0,0,0.0298278252563051,0.0782664788876466,0.159776714323833,0,0.0692756460757681,0,0.0342762506033644,0.0579642661407654,0,0.12862400783293,0,0.248640775289054,0.0401758547538175,0.13896073040322,0,-0.0275463674489939,0,0.0416704528160437,"Depression"
0.0945927160981397,0,0,0,0.0343246108906142,0,0.0294805627638155,0,0,0.0593710299898066,0.0313401934886136,0.283330764276171,0,0.137219978294607,0,0.0294195204834838,0.0313094002637041,0.0196814339155631,0,0.193812382634246,0,"Anxiety"
0,0.0298278252563051,0,0,0.0638481293415279,0,0.0471911138412946,0.0485815424570734,0.170645390970634,0.0580605550590041,0.064855626009472,0,0,0.0693459581702575,-0.0389537100968319,0.125399562278954,0,0.124669778776778,0.106977152753947,0,0,"Stress"
0,0.0782664788876466,0.0343246108906142,0.0638481293415279,0,0,0.143142084256994,0,0,0.0484832580029865,0.266758426619689,0.0264810596149876,0.0403055163661142,0.0980385401141964,0.0375941327399172,0.0294089765380988,0,0.087737796323294,0,0,0.0522251826669999,"Stress"
0,0.159776714323833,0,0,0,0,0,0.165990725083222,0,0.0290961694772802,0,0,0.0896672710518979,0,0.160648531545624,0,0.292230289065911,0,0,0,0.104296725983232,"Depression"
0,0,0.0294805627638155,0.0471911138412946,0.143142084256994,0,0,0,0.0233834543404847,0.123052828648489,0.0643652631392304,0.0807754112985843,0.0248198134324473,0.187095734784105,0,0.0386345884173429,-0.0276031109020644,0.066413987178863,0.112990077186081,0.0837997164974364,0.0426946138536952,"Stress"
0.0187953277127788,0.0692756460757681,0,0.0485815424570734,0,0.165990725083222,0,0,0.0440463587944233,0.0544844724684042,0,-0.0226698516724594,0.150140966987153,0,0.0211582459560073,0,0.333853429181779,0,0.108752263268785,0.0233429303739382,0.0298741752047896,"Depression"
0.0560036726360658,0,0,0.170645390970634,0,0,0.0233834543404847,0.0440463587944233,0,0.0443073721168869,0.0550121504334556,0.026239720896095,0.0891571098640669,0,0,0.0843455270607975,0,0.0898721125333711,0.0230987050383527,0,0,"Stress"
0.0459462175451209,0.0342762506033644,0.0593710299898066,0.0580605550590041,0.0484832580029865,0.0290961694772802,0.123052828648489,0.0544844724684042,0.0443073721168869,0,0,0.0549863603650234,0.0256800568190784,0.164644129692453,0,0,0.0238689349893897,0,0.169984942016458,0.0551513294706672,0,"Anxiety"
0.0186467741652094,0.0579642661407654,0.0313401934886136,0.064855626009472,0.266758426619689,0,0.0643652631392304,0,0.0550121504334556,0,0,0.0342192262082989,0.0629219418236066,0.0374000427278175,0.040011717050166,0.0843292921569199,0,0.115284705852639,0,0.0224709951710801,0.0413011170493522,"Stress"
0.093158846732435,0,0.283330764276171,0,0.0264810596149876,0,0.0807754112985843,-0.0226698516724594,0.026239720896095,0.0549863603650234,0.0342192262082989,0,0.0225837916865335,0.061742817576661,0,0,0,0.024284273266026,0.0328221394183523,0.135521803933981,0,"Anxiety"
0,0.12862400783293,0,0,0.0403055163661142,0.0896672710518979,0.0248198134324473,0.150140966987153,0.0891571098640669,0.0256800568190784,0.0629219418236066,0.0225837916865335,0,0.0255719392409718,0.0975669816134726,0,0.107246457147999,0.0827342874254845,0,0,0.0803992677114908,"Depression"
0,0,0.137219978294607,0.0693459581702575,0.0980385401141964,0,0.187095734784105,0,0,0.164644129692453,0.0374000427278175,0.061742817576661,0.0255719392409718,0,0,0,0,0.0544467727143083,0.165835134811578,0.103253261101409,0,"Anxiety"
0.0388917291962113,0.248640775289054,0,-0.0389537100968319,0.0375941327399172,0.160648531545624,0,0.0211582459560073,0,0,0.040011717050166,0,0.0975669816134726,0,0,0.059221226525183,0.0565227355199105,0.0404710870311057,0,0,0.189298085008919,"Depression"
0.0685211046379068,0.0401758547538175,0.0294195204834838,0.125399562278954,0.0294089765380988,0,0.0386345884173429,0,0.0843455270607975,0,0.0843292921569199,0,0,0,0.059221226525183,0,0.027753942758368,0.130879162217362,0.0508389798036255,0,0.0568214698254559,"Stress"
0,0.13896073040322,0.0313094002637041,0,0,0.292230289065911,-0.0276031109020644,0.333853429181779,0,0.0238689349893897,0,0,0.107246457147999,0,0.0565227355199105,0.027753942758368,0,0.019820914462477,0,0,0.0228025633685468,"Depression"
0,0,0.0196814339155631,0.124669778776778,0.087737796323294,0,0.066413987178863,0,0.0898721125333711,0,0.115284705852639,0.024284273266026,0.0827342874254845,0.0544467727143083,0.0404710870311057,0.130879162217362,0.019820914462477,0,0.0305633407163377,0.0296532995800457,0.0753974838818767,"Stress"
0.0505438186086186,-0.0275463674489939,0,0.106977152753947,0,0,0.112990077186081,0.108752263268785,0.0230987050383527,0.169984942016458,0,0.0328221394183523,0,0.165835134811578,0,0.0508389798036255,0,0.0305633407163377,0,0.061589553950029,0.0247800525323949,"Anxiety"
0.105091417880445,0,0.193812382634246,0,0,0,0.0837997164974364,0.0233429303739382,0,0.0551513294706672,0.0224709951710801,0.135521803933981,0,0.103253261101409,0,0,0,0.0296532995800457,0.061589553950029,0,0,"Anxiety"
0,0.0416704528160437,0,0,0.0522251826669999,0.104296725983232,0.0426946138536952,0.0298741752047896,0,0,0.0413011170493522,0,0.0803992677114908,0,0.189298085008919,0.0568214698254559,0.0228025633685468,0.0753974838818767,0.0247800525323949,0,0,"Depression"
