"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","cluster"
0,0.253177165182233,0.193652200968504,0.182737096999166,0.0744403701833817,0.112087885662974,0,0,0,0,0,0,0.0464063905499357,0,0.0603799949474132,0.0372277746521933,0,"singlecluster"
0.253177165182233,0,0.196292327859651,0,0.0813556271809523,0.0268321076446447,0.0454524230120585,0,0,0,0,0,0.0253316656387383,0.0643051076351333,0,0.181877582132029,0,"singlecluster"
0.193652200968504,0.196292327859651,0,0.0896531707587763,0.168990773909274,0,0.0290831089935453,0.0678294880987571,0,0,0,0.0323333732599256,0,0,0,0,0,"singlecluster"
0.182737096999166,0,0.0896531707587763,0,0.219320230377949,0.111450001222317,0.0651571023122412,0,0,0,0,0.0483885008371853,0,0.0433469148933163,0,0,0,"singlecluster"
0.0744403701833817,0.0813556271809523,0.168990773909274,0.219320230377949,0,0.0572492727895154,0.115061436707737,0,0,0,0,0.0508196065603209,0,0.121639881376249,0,0,0,"singlecluster"
0.112087885662974,0.0268321076446447,0,0.111450001222317,0.0572492727895154,0,0.328246559279966,0.0731765690533076,0,0,0.044081788639331,0,0.0570028446639654,0,0,0.0311030316754992,0,"singlecluster"
0,0.0454524230120585,0.0290831089935453,0.0651571023122412,0.115061436707737,0.328246559279966,0,0.0603914320571873,0.0879824773442593,0,0,0,0.0622140109319222,0.0538497492546131,0,0,0,"singlecluster"
0,0,0.0678294880987571,0,0,0.0731765690533076,0.0603914320571873,0,0,0,0.0443751962240331,0,0,0,0.0401539160582258,0,0,"singlecluster"
0,0,0,0,0,0,0.0879824773442593,0,0,0.266261405236512,0.126516196274637,0.0637409311575331,0,0,0.127767357953794,0,0.0914463450176845,"singlecluster"
0,0,0,0,0,0,0,0,0.266261405236512,0,0.28496454139583,0.0822123503123099,0,0,0.071558053782974,0.0553824657128657,0.120364961986237,"singlecluster"
0,0,0,0,0,0.044081788639331,0,0.0443751962240331,0.126516196274637,0.28496454139583,0,0.0653545676852111,0,0,0.0704318661421538,0.0428076693769272,0.152728079435045,"singlecluster"
0,0,0.0323333732599256,0.0483885008371853,0.0508196065603209,0,0,0,0.0637409311575331,0.0822123503123099,0.0653545676852111,0,0.0586998662016178,0.045724976647215,0.120391905050765,0.109903387200685,0.0767929326778368,"singlecluster"
0.0464063905499357,0.0253316656387383,0,0,0,0.0570028446639654,0.0622140109319222,0,0,0,0,0.0586998662016178,0,0.339647388336252,0.0591351496897559,0.0498256280942453,0,"singlecluster"
0,0.0643051076351333,0,0.0433469148933163,0.121639881376249,0,0.0538497492546131,0,0,0,0,0.045724976647215,0.339647388336252,0,0.106215841831243,0.0592467380626909,0,"singlecluster"
0.0603799949474132,0,0,0,0,0,0,0.0401539160582258,0.127767357953794,0.071558053782974,0.0704318661421538,0.120391905050765,0.0591351496897559,0.106215841831243,0,0.148133729752606,0.1034593292969,"singlecluster"
0.0372277746521933,0.181877582132029,0,0,0,0.0311030316754992,0,0,0,0.0553824657128657,0.0428076693769272,0.109903387200685,0.0498256280942453,0.0592467380626909,0.148133729752606,0,0,"singlecluster"
0,0,0,0,0,0,0,0,0.0914463450176845,0.120364961986237,0.152728079435045,0.0767929326778368,0,0,0.1034593292969,0,0,"singlecluster"
